LLRRRLLRLRRRLLRLRLRLRLRRRLRRLRRLRLLLRRLLRRLRRLRRLRRRLLLRRLRLRRRLRRRLRLRRLRRRLRLRRRLRLRLLLRLRRLRLRRLRRRLRLRRRLRRRLRRRLRRRLRLRRRLRRRLRLLRRLRLRLRRRLRRLRRRLRRRLRRRLRRRLLLLRRLLRLRRLRRLRRRLRRRLLLRRLRRLRLRRLRRRLRRLRLRRRLRLRRLLRLLRRLRLRRRLRRLRRLRLRRLLLRRRLRLRRRLRLRLLRLRLRRRLRLRLRRRLRRLRRLRRRLRRLLRRRR

VTM = (VPB, NKT)
LHN = (DLF, GQV)
CRN = (TGB, XCM)
TXR = (JQL, JQL)
LJX = (SPR, LLM)
HSH = (SKP, MFC)
JSC = (QPB, VCP)
KKG = (BFT, NBS)
BCB = (GRT, TLB)
GPA = (SDK, MRM)
CNJ = (FDR, GGT)
GQV = (BSJ, DGF)
CNT = (FLM, TVQ)
RLL = (BRB, CRH)
PPN = (KCF, PSJ)
TFL = (GCD, DMF)
KPM = (TKS, CGP)
FBN = (GPF, LCJ)
DQJ = (MHL, VKQ)
NDD = (QLT, PPG)
GNL = (QGD, LTM)
NBG = (XPM, HTV)
LTT = (RLP, NHB)
QHH = (DDD, ZZZ)
DLN = (KNP, KNP)
XMN = (DGV, DNL)
BCL = (FVG, QMH)
GLR = (JDH, RBR)
LXL = (BVC, RSG)
TCV = (JKG, BTF)
HJC = (KTD, JFQ)
DBK = (RCR, CVZ)
FMD = (QGQ, TJX)
JQG = (FHN, HKX)
XFV = (JJM, LBM)
GXQ = (XFV, MVV)
HTT = (THT, CFL)
FTG = (JRP, VGH)
XJF = (FCL, HNF)
MPT = (RDF, NDJ)
FJG = (VPF, LGQ)
CSK = (NSD, MFH)
QJN = (MPT, PLV)
HJP = (VCP, QPB)
KCF = (LVM, XMX)
FPZ = (FMR, GSL)
LRB = (RFF, GQR)
MHN = (TVD, MVF)
FSH = (VPF, LGQ)
GGT = (XJF, RQQ)
RRL = (JTG, TNF)
MPM = (QBD, QHH)
SHG = (JMJ, TLK)
TTD = (DLK, BBJ)
HLF = (JLF, SKB)
XMG = (CGM, RTL)
FFT = (DFJ, RPJ)
FQL = (PTM, LDJ)
NQJ = (CQM, DDL)
VKQ = (TGR, DBC)
RCD = (XPP, FPP)
HPC = (FLM, TVQ)
PBB = (LQR, PQS)
KBS = (BFT, NBS)
HTD = (JMS, HNX)
SKF = (NLJ, NLJ)
GTA = (GSL, FMR)
RSG = (MLL, LJX)
KRB = (PSG, FMD)
XNP = (LFN, XGC)
TVH = (GDG, MNT)
